Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AFGHANISTAN,73.8%,72.14%,71.39%,68.42%,56.05%,72.09%,52.65%,48.73%,48.89%,63.25%
ALBANIA,35.95%,40.45%,41.92%,41.45%,40.06%,10.78%,27.55%,31.10%,33.37%,37.32%
ALGERIA,36%,43.96%,39.26%,44.22%,49.69%,38.40%,18.10%,35.19%,50.72%,51.23%
ANDORRA,28.57%,0%,0%,12.50%,50.00%,0.00%,0.00%,22.22%,28.57%,9.09%
ANGOLA,48.52%,36.01%,51.76%,58.26%,62.15%,58.52%,47.25%,48.94%,49.36%,54.33%
ANTIGUA AND BARBUDA,22.11%,20.5%,19.07%,15.25%,23.44%,16.66%,14.09%,18.60%,26.74%,38.89%
ARGENTINA,2.14%,1.79%,1.73%,2.07%,2.79%,2.31%,3.66%,8.21%,8.90%,7.47%
ARMENIA,45.88%,51.87%,53.83%,51.65%,56.47%,37.07%,37.87%,51.49%,59.46%,56.37%
AUSTRALIA,15.38%,17.18%,17.99%,19.18%,18.74%,14.27%,12.55%,16.75%,20.67%,22.93%
AUSTRIA,5.93%,5%,5.39%,5.21%,8.91%,6.29%,6.97%,9.38%,9.94%,8.92%
AZERBAIJAN,14.83%,27.63%,28.45%,25.43%,26.41%,12.27%,23.54%,35.99%,21.46%,20.91%
"BAHAMAS, THE",9.35%,9.32%,12.51%,9.33%,12.59%,7.91%,8.30%,8.38%,12.81%,14.46%
BAHRAIN,6.26%,9.53%,6.96%,13.55%,9.04%,22.48%,28.41%,11.11%,17.83%,24.01%
BANGLADESH,62.82%,60.88%,40.05%,39.78%,40.34%,29.91%,30.30%,43.66%,46.09%,61.45%
BARBADOS,11.24%,8.72%,7.07%,6.76%,10.79%,12.93%,6.55%,9.63%,10.81%,18.46%
BELARUS,14.87%,21.69%,23.26%,21.93%,27.01%,16.81%,26.05%,32.80%,28.79%,26.58%
BELGIUM,7.33%,6.96%,9.77%,8.96%,16.47%,16.57%,8.73%,8.76%,11.65%,12.80%
BELIZE,35.21%,30.91%,34.55%,28.63%,23.31%,25.36%,26.45%,26.25%,29.48%,32.32%
BENIN,38.01%,42.1%,47.74%,48.48%,45.27%,32.05%,40.57%,49.11%,61.49%,64.58%
BHUTAN,69.78%,52.43%,59.63%,57.13%,53.56%,43.33%,34.55%,45.03%,49.46%,56.03%
BOLIVIA,14.36%,18.08%,22.19%,24.17%,20.36%,11.30%,17.15%,22.15%,28.93%,29.83%
BOSNIA-HERZEGOVINA,19.7%,16.37%,23.5%,25.27%,16.01%,21.84%,19.91%,18.49%,11.64%,14.89%
BOTSWANA,18.97%,17.94%,18.67%,17.54%,19.26%,0.00%,11.19%,23.81%,32.44%,38.44%
BRAZIL,16.7%,12.34%,12.73%,18.48%,23.16%,14.25%,14.48%,11.94%,15.48%,14.87%
BRUNEI,13.51%,3.7%,4.35%,4.76%,0.00%,0.00%,5.41%,10.71%,4.00%,8.33%
BULGARIA,16.86%,14.97%,11.32%,9.75%,12.52%,18.40%,10.00%,11.61%,6.02%,5.11%
BURKINA FASO,65.35%,75.74%,71.16%,62.32%,62.86%,24.55%,39.25%,45.20%,58.03%,71.25%
BURMA,13.02%,17.88%,23.12%,30.91%,40.68%,39.40%,46.15%,43.67%,62.58%,64.19%
BURUNDI,61.33%,75.55%,74.39%,73.16%,77.72%,53.23%,69.52%,66.29%,65.52%,69.23%
CABO VERDE,45.89%,50.7%,54.22%,52.66%,42.74%,25.32%,33.68%,41.55%,52.02%,53.87%
CAMBODIA,35.62%,41.05%,32.63%,33.65%,26.50%,35.62%,24.50%,25.95%,28.32%,
CAMEROON,36.84%,47.29%,52.27%,57.97%,57.12%,39.93%,52.22%,58.62%,55.57%,60.55%
CANADA,47.93%,41.14%,38.98%,43.76%,52.67%,51.81%,58.33%,52.04%,56.35%,53.10%
CENTRAL AFRICAN REPUBLIC,35.12%,44.24%,36.03%,37.45%,48.67%,36.36%,36.70%,56.67%,48.46%,42.60%
CHAD,42.53%,51.65%,60.8%,70.16%,70.60%,72.77%,69.39%,42.50%,58.60%,61.63%
CHILE,11.43%,13.87%,11.34%,15.32%,11.54%,13.42%,13.75%,16.12%,20.15%,16.38%
CHINA,12.35%,14.57%,17%,18.22%,22.12%,79.09%,30.39%,26.63%,25.37%,20.21%
COLOMBIA,17.79%,21.93%,35.11%,41.93%,46.82%,27.75%,32.86%,20.59%,24.70%,32.84%
COMOROS,53.73%,48.45%,69.46%,53.02%,86.15%,73.68%,43.48%,33.33%,25.42%,30.19%
"CONGO, REPUBLIC OF THE",46.55%,49.94%,52.23%,60.49%,59.34%,63.82%,43.93%,48.53%,46.77%,63.37%
"CONGO, DEMOCRATIC REPUBLIC OF THE",45.63%,48.47%,50.56%,53.80%,58.03%,37.36%,37.19%,49.65%,48.78%,64.75%
COSTA RICA,8.39%,6.49%,9.91%,18.66%,24.77%,7.97%,12.71%,16.09%,12.66%,16.14%
COTE D`IVOIRE,37.38%,33.72%,33.81%,35.73%,40.66%,25.33%,23.08%,24.85%,30.08%,36.79%
CROATIA,6.78%,5.1%,5.92%,4.02%,2.69%,4.65%,5.56%,9.32%,11.56%,14.75%
CUBA,81.85%,77.17%,50.97%,53.40%,60.15%,52.69%,56.51%,49.96%,53.35%,70.86%
CYPRUS,2.03%,1.69%,2.38%,2.78%,6.21%,15.09%,6.22%,4.48%,2.16%,2.55%
CZECH REPUBLIC,7.82%,6.81%,10.37%,12.41%,26.82%,16.24%,8.50%,8.05%,7.96%,8.66%
DENMARK,11.74%,13.18%,12.38%,14.26%,17.58%,31.11%,12.17%,10.66%,9.25%,12.59%
DJIBOUTI,47.09%,74.8%,82.96%,85.35%,69.79%,88.34%,74.44%,68.37%,64.71%,61.47%
DOMINICA,31.63%,28.74%,37.13%,26.83%,30.38%,22.85%,25.00%,29.10%,35.41%,42.89%
DOMINICAN REPUBLIC,31.88%,35.78%,49.54%,53.21%,39.18%,4.33%,15.75%,36.69%,43.38%,36.40%
ECUADOR,29.18%,27.95%,31.38%,34.05%,33.44%,15.68%,17.51%,26.67%,36.99%,42.24%
EGYPT,28.61%,34.24%,32.15%,31.83%,35.16%,23.81%,23.11%,26.11%,39.77%,47.61%
EL SALVADOR,57.12%,52.97%,51.49%,58.18%,62.95%,20.63%,45.46%,57.91%,52.65%,58.22%
EQUATORIAL GUINEA,17.75%,18.21%,21.29%,27.79%,59.18%,74.13%,48.32%,40.35%,55.07%,68.63%
ERITREA,50.49%,71.69%,69.54%,65.39%,63.62%,55.96%,47.04%,61.97%,49.94%,60.02%
ESTONIA,20.74%,21.16%,26.73%,24.81%,32.65%,9.09%,21.43%,16.22%,9.79%,11.33%
ESWATINI,,,8.49%,5.73%,5.52%,8.89%,9.30%,7.84%,38.44%,50.87%
ETHIOPIA,38.13%,50.3%,41.74%,45.46%,39.73%,7.52%,25.32%,41.20%,51.17%,53.64%
FEDERATED STATES OF MICRONESIA,25%,100%,100%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%
FIJI,20.23%,26.59%,41.74%,38.96%,44.44%,56.64%,45.36%,41.88%,35.25%,32.83%
FINLAND,7.72%,11.78%,15.05%,11.00%,14.03%,16.51%,13.07%,22.82%,14.49%,
FRANCE,7.3%,7.43%,10.11%,13.67%,21.58%,22.21%,12.55%,10.11%,8.50%,9.67%
GABON,21.29%,26.1%,40%,45.41%,37.61%,31.25%,21.65%,29.62%,27.76%,44.63%
"GAMBIA, THE",69.87%,70.27%,64.22%,72.30%,66.84%,40.30%,50.64%,60.40%,66.03%,75.29%
GEORGIA,62.82%,61.09%,62.35%,63.85%,66.91%,63.04%,42.01%,49.23%,41.44%,45.57%
GERMANY,7.25%,5.91%,7.4%,9.30%,12.69%,24.82%,11.69%,10.84%,10.02%,12.22%
GHANA,65.7%,56.18%,49.35%,55.60%,57.01%,17.49%,27.66%,37.56%,55.59%,64.34%
GREAT BRITAIN AND NORTHERN IRELAND,20.42%,20.15%,20.29%,21.05%,23.58%,11.97%,15.55%,14.69%,18.03%,20.44%
GREECE,16.37%,13.14%,16.93%,14.99%,18.58%,10.86%,14.95%,15.57%,10.16%,9.30%
GRENADA,35.71%,26.94%,26.44%,19.49%,24.76%,19.63%,16.58%,20.37%,33.13%,43.73%
GUATEMALA,48.68%,47.14%,53.62%,58.64%,52.36%,7.26%,5.45%,21.55%,30.84%,39.21%
GUINEA,63.53%,64.59%,66.16%,73.29%,63.79%,61.26%,53.56%,61.37%,70.25%,66.90%
GUINEA - BISSAU,71.88%,71.61%,76.09%,65.33%,66.36%,62.50%,60.91%,48.15%,76.59%,75.17%
GUYANA,25.76%,37.92%,70.62%,62.96%,62.20%,36.76%,28.42%,39.22%,34.25%,26.61%
HAITI,64.52%,71.44%,67.59%,60.81%,50.16%,45.87%,47.12%,47.94%,47.35%,50.26%
HONDURAS,42.76%,40.35%,60.32%,61.71%,52.10%,12.38%,30.47%,33.79%,42.61%,46.52%
HONG KONG S. A. R.,4.61%,3.45%,4.25%,3.23%,4.50%,5.28%,4.88%,5.49%,6.16%,7.72%
HUNGARY,15.48%,13.04%,10.53%,8.85%,16.36%,16.67%,8.44%,7.29%,5.93%,7.91%
ICELAND,7.69%,7.46%,7.14%,9.44%,18.98%,25.00%,3.24%,4.54%,5.80%,5.43%
INDIA,26.02%,23.29%,26.07%,27.75%,27.26%,12.25%,6.54%,10.99%,16.32%,22.04%
INDONESIA,11.19%,10.99%,12.81%,12.46%,12.19%,5.83%,12.23%,10.95%,20.09%,26.69%
IRAN,45.02%,58.66%,87.66%,86.58%,85.88%,66.81%,54.09%,53.26%,55.54%,62.44%
IRAQ,51.71%,60.71%,56.95%,49.94%,45.24%,36.48%,44.63%,37.09%,33.44%,39.86%
IRELAND,15.48%,17.89%,21.77%,22.69%,26.07%,40.00%,21.32%,19.41%,22.19%,25.12%
ISRAEL,4.09%,4.88%,5.1%,5.33%,6.52%,4.92%,2.27%,3.30%,8.64%,11.32%
ITALY,10.86%,12.54%,14.83%,15.03%,20.82%,15.86%,9.75%,10.62%,10.89%,12.65%
JAMAICA,35.64%,46.78%,54.46%,56.59%,57.07%,19.13%,30.04%,40.29%,43.67%,44.26%
JAPAN,8.12%,8.47%,9.76%,10.48%,10.43%,4.69%,5.79%,6.05%,5.76%,5.68%
JORDAN,40.34%,40.06%,42.62%,45.26%,44.44%,38.09%,27.90%,28.51%,45.86%,56.63%
KAZAKHSTAN,27.55%,32.81%,39.38%,42.58%,47.34%,43.29%,44.02%,41.93%,46.29%,51.75%
KENYA,26.6%,33.17%,41.59%,49.86%,50.26%,34.86%,42.02%,51.68%,63.32%,68.23%
KIRIBATI,5.81%,5.13%,25.33%,11.69%,55.56%,50.00%,30.43%,20.55%,10.81%,4.50%
"KOREA, NORTH",15%,54.55%,100%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,33.33%
"KOREA, SOUTH",8.65%,9.05%,7.96%,7.69%,8.46%,18.03%,17.38%,14.44%,14.97%,24.73%
KOSOVO,41.48%,37.92%,35.97%,36.76%,39.47%,12.51%,17.93%,29.79%,36.52%,35.00%
KUWAIT,4.56%,8.32%,2.71%,3.27%,5.01%,18.18%,16.04%,3.96%,5.50%,6.06%
KYRGYZSTAN,51.68%,55.58%,58.9%,67.75%,65.60%,44.00%,37.85%,41.54%,39.14%,59.02%
LAOS,62.37%,63.66%,64.06%,65.60%,70.57%,89.86%,56.20%,72.79%,82.84%,84.35%
LATVIA,13.45%,12.83%,15.24%,18.98%,23.01%,15.91%,9.95%,9.28%,7.67%,19.00%
LEBANON,25.41%,31.75%,25.22%,23.85%,28.44%,52.21%,39.40%,38.78%,35.03%,39.42%
LESOTHO,21.2%,35.97%,21.94%,28.24%,26.74%,50.00%,22.22%,25.82%,29.57%,38.24%
LIBERIA,70.23%,64.98%,64.36%,73.93%,67.62%,54.17%,62.73%,78.19%,79.38%,73.01%
LIBYA,40.58%,45.5%,73.73%,89.05%,80.90%,24.26%,22.78%,19.41%,24.64%,31.78%
LIECHTENSTEIN,0%,0%,0%,0.00%,0.00%,25.00%,12.50%,0.00%,0.00%,0.00%
LITHUANIA,22.36%,22.54%,17.29%,18.67%,21.96%,15.91%,14.81%,13.40%,21.04%,21.32%
LUXEMBOURG,7.69%,5.74%,5.19%,10.22%,7.41%,0.00%,7.84%,4.22%,10.86%,13.77%
MACAU S.A.R.,7.71%,5.38%,7.79%,5.03%,7.12%,12.50%,20.17%,11.57%,9.85%,13.13%
MACEDONIA,33.84%,28.69%,31.29%,,,,,,,
MADAGASCAR,12.12%,11%,11.77%,7.69%,14.36%,21.82%,13.24%,12.07%,13.12%,17.23%
MALAWI,14.52%,26.49%,28.2%,37.05%,42.67%,12.12%,38.54%,39.25%,47.78%,53.42%
MALAYSIA,3.65%,3.93%,4.94%,4.91%,6.97%,7.21%,9.41%,4.43%,6.79%,7.92%
MALDIVES,47.56%,27.74%,39.88%,33.65%,22.88%,66.67%,23.65%,14.66%,25.82%,10.60%
MALI,57.58%,59.43%,50.6%,55.89%,55.99%,62.96%,64.08%,60.16%,60.90%,55.57%
MALTA,8.38%,4.81%,9.59%,17.76%,28.38%,16.67%,10.78%,10.56%,12.43%,10.30%
"MARSHALL ISLANDS, REPUBLIC OF THE",29.41%,5.88%,17.39%,30.77%,45.45%,0.00%,0.00%,31.58%,63.16%,35.71%
MAURITANIA,71.45%,67.3%,61.58%,67.79%,80.15%,83.14%,89.72%,76.43%,70.07%,67.61%
MAURITIUS,5.53%,8.29%,6.49%,6.59%,6.22%,9.92%,7.77%,6.90%,6.27%,7.35%
MEXICO ,23.49%,22.5%,24.93%,26.66%,23.16%,4.23%,5.91%,10.57%,13.87%,21.36%
MOLDOVA,36.35%,49.12%,61.1%,58.03%,51.00%,66.37%,43.57%,42.42%,46.99%,44.76%
MONACO,0%,0%,0%,22.22%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%
MONGOLIA,43.63%,53.62%,56.51%,54.60%,45.47%,39.57%,38.32%,37.34%,39.36%,31.28%
MONTENEGRO,28.69%,26.41%,35.35%,39.10%,58.53%,9.30%,34.03%,43.59%,36.48%,33.41%
MOROCCO,26.77%,36.99%,42.88%,28.48%,23.35%,20.85%,21.90%,15.92%,14.45%,26.91%
MOZAMBIQUE,10.29%,26.18%,10.22%,14.24%,18.64%,32.75%,20.48%,22.23%,34.75%,24.75%
NAMIBIA,5.56%,6.31%,8.4%,6.60%,5.20%,10.71%,12.05%,22.40%,21.95%,16.54%
NAURU,13.33%,20.97%,21.43%,20.83%,25.00%,0.00%,66.67%,10.00%,0.00%,24.14%
NEPAL,49.54%,46.42%,51.53%,50.70%,48.11%,18.72%,19.85%,31.03%,49.47%,69.47%
NETHERLANDS,16.62%,9.65%,9.56%,11.82%,12.89%,25.28%,16.97%,16.81%,14.79%,17.42%
NEW ZEALAND,15.45%,22.02%,19.97%,16.32%,14.47%,12.74%,12.52%,13.28%,22.79%,21.94%
NICARAGUA,44.54%,43.28%,46.75%,63.52%,63.17%,12.72%,50.81%,65.60%,58.71%,53.15%
NIGER,31.14%,30.65%,43.33%,42.76%,53.50%,61.39%,43.67%,30.76%,38.18%,38.23%
NIGERIA,41.44%,44.95%,57.47%,67.20%,64.83%,43.78%,25.80%,29.23%,46.51%,57.00%
**NON-NATIONALITY BASED ISSUANCES,,35.61%,40.27%,43.16%,46.06%,49.74%,45.44%,43.95%,41.41%,37.40%
NORTH MACEDONIA,,,,36.19%,29.62%,12.31%,26.29%,29.13%,28.00%,25.55%
NORWAY,21.96%,17.36%,12.4%,17.35%,17.07%,8.65%,16.53%,17.96%,19.44%,16.18%
OMAN,1.93%,3.46%,4.87%,5.13%,6.32%,16.45%,18.45%,4.76%,4.50%,3.14%
PAKISTAN,46.43%,49.4%,47.89%,48.26%,45.62%,32.53%,31.43%,40.82%,45.65%,52.32%
PALESTINIAN AUTHORITY TRAVEL DOCUMENT,40.64%,50.98%,53.87%,52.92%,58.27%,50.80%,33.96%,100.00%,63.64%,80.00%
PANAMA,12.05%,11.61%,11.71%,18.93%,15.33%,8.29%,13.54%,34.77%,44.51%,60.26%
PAPUA NEW GUINEA,10.56%,9.34%,6.84%,1.74%,6.64%,3.45%,4.93%,23.95%,19.93%,6.51%
PARAGUAY,7.47%,6.83%,8.02%,12.41%,16.80%,13.33%,17.95%,6.15%,3.85%,10.57%
PERU,28.61%,25.97%,28.53%,25.39%,24.13%,4.11%,27.61%,16.00%,18.09%,18.71%
PHILIPPINES,27.29%,25.54%,27.07%,24.40%,32.49%,10.20%,11.59%,24.23%,21.30%,20.90%
POLAND,5.37%,5.92%,3.99%,2.76%,8.91%,18.48%,14.74%,23.93%,28.33%,30.76%
PORTUGAL,8.97%,11.06%,7.28%,6.52%,9.75%,17.86%,9.41%,16.47%,10.99%,11.63%
QATAR,3.5%,7.48%,8.34%,10.33%,8.28%,11.69%,12.86%,10.52%,7.91%,8.19%
REPUBLIC OF PALAU,53.33%,83.33%,71.43%,100.00%,40.00%,0.00%,66.67%,2.53%,4.67%,9.69%
ROMANIA,11.43%,11.76%,10.44%,9.11%,10.14%,17.03%,12.61%,8.79%,2.61%,8.41%
RUSSIA,9.29%,11.61%,14.89%,15.19%,17.79%,29.42%,26.18%,39.49%,38.56%,40.38%
RWANDA,43.79%,52.17%,44.51%,53.76%,63.93%,34.96%,62.92%,71.09%,55.76%,64.71%
SAMOA,28.44%,40.32%,26.26%,27.02%,36.87%,32.58%,29.52%,34.37%,45.75%,44.33%
SAN MARINO,0%,0%,25%,50.00%,0.00%,0.00%,0.00%,33.33%,9.09%,20.00%
SAO TOME AND PRINCIPE,24.14%,14.81%,26.09%,34.78%,36.36%,20.00%,21.43%,46.67%,50.00%,25.00%
SAUDI ARABIA,4.04%,5.26%,7.47%,6.82%,10.01%,13.43%,14.29%,5.01%,7.89%,5.98%
SENEGAL,52.46%,56.85%,59.18%,55.88%,65.28%,34.95%,66.48%,70.47%,74.65%,73.96%
SERBIA,18.77%,22.33%,25.93%,30.33%,25.01%,13.27%,19.45%,16.53%,17.77%,15.20%
SEYCHELLES,9.66%,13.14%,11.64%,10.60%,6.38%,0.00%,10.26%,4.55%,7.59%,13.22%
SIERRA LEONE,61.25%,47.3%,60.56%,57.99%,59.35%,35.70%,45.16%,49.02%,69.36%,70.55%
SINGAPORE,15.1%,13.74%,14.29%,18.07%,10.17%,9.72%,10.10%,15.22%,10.40%,18.64%
SLOVAKIA,12.28%,13.3%,16.21%,11.99%,28.08%,10.87%,15.86%,11.49%,11.58%,14.33%
SLOVENIA,10.43%,19.22%,12.33%,12.33%,17.11%,15.19%,13.47%,13.86%,12.42%,14.57%
SOLOMON ISLANDS,4.28%,16.79%,3.57%,2.20%,9.09%,0.00%,7.69%,4.35%,5.00%,7.84%
SOMALIA,63.89%,75.5%,90.16%,80.77%,71.76%,66.67%,73.97%,69.89%,77.02%,83.52%
SOUTH AFRICA,6.83%,6.44%,7.31%,6.92%,7.80%,17.67%,9.68%,11.27%,10.65%,11.66%
SOUTH SUDAN,43.89%,47.52%,41.29%,52.32%,53.36%,45.71%,49.04%,48.94%,60.35%,76.09%
SPAIN,15.09%,17.26%,14.04%,16.53%,20.17%,18.29%,10.75%,15.66%,16.39%,23.67%
SRI LANKA,21.69%,26.19%,33.61%,35.12%,36.00%,25.34%,22.13%,26.61%,29.76%,33.35%
ST LUCIA,27.16%,22.34%,21.9%,16.75%,23.31%,17.47%,16.72%,16.60%,26.82%,37.03%
ST. KITTS AND NEVIS,27.46%,26.66%,24.98%,21.87%,23.28%,19.35%,17.14%,20.95%,26.64%,35.09%
ST. VINCENT AND THE GRENADINES,28.31%,20.38%,19.77%,14.55%,21.10%,15.08%,14.12%,16.99%,26.64%,37.34%
SUDAN,36.59%,51.37%,59.83%,57.44%,50.25%,40.90%,38.83%,49.34%,54.59%,63.26%
SURINAME,10.86%,11.44%,8.57%,7.44%,10.83%,6.42%,11.91%,14.44%,13.63%,14.28%
SWAZILAND,8.03%,12.59%,,,,,,,,
SWEDEN,12.78%,13.92%,15.2%,13.32%,18.35%,39.46%,17.07%,20.68%,21.46%,21.77%
SWITZERLAND,5.2%,5.89%,5.5%,7.20%,10.92%,18.92%,3.05%,5.36%,5.39%,5.82%
SYRIA,59.77%,59.11%,77.31%,74.83%,66.68%,44.04%,42.87%,47.42%,45.84%,50.69%
TAIWAN,5.36%,5.42%,6.8%,4.62%,5.02%,12.65%,4.56%,4.92%,5.22%,9.45%
TAJIKISTAN,55.24%,51.84%,53.39%,60.97%,59.55%,57.24%,57.93%,54.96%,45.24%,47.83%
TANZANIA,23.05%,18.36%,19.87%,23.90%,31.04%,7.27%,29.37%,34.13%,36.69%,39.41%
THAILAND,17.82%,20.15%,22.17%,23.41%,24.44%,31.82%,24.36%,24.34%,22.50%,25.67%
TIMOR-LESTE,26.67%,7.02%,8.16%,4.23%,21.43%,0.00%,0.00%,8.51%,6.25%,20.45%
TOGO,54.39%,59.88%,59.61%,59.78%,62.32%,16.98%,43.87%,55.13%,66.60%,72.02%
TONGA,31.58%,32.85%,51.33%,45.85%,48.15%,46.67%,51.27%,50.61%,47.33%,47.21%
TRINIDAD AND TOBAGO,22.7%,22.46%,19.28%,13.05%,14.10%,7.05%,13.64%,16.62%,18.18%,14.92%
TUNISIA,15.92%,19.53%,27.67%,24.17%,19.11%,24.92%,21.06%,26.14%,23.21%,25.89%
TURKEY,13.62%,17.86%,17.49%,19.19%,17.46%,13.70%,19.96%,20.59%,19.78%,22.25%
TURKMENISTAN,32.95%,40.6%,52.93%,56.26%,58.55%,32.00%,35.69%,51.10%,58.80%,64.74%
TUVALU,20%,15.38%,34.78%,25.81%,33.33%,0.00%,27.27%,22.22%,8.33%,4.55%
UGANDA,41.53%,42.38%,42.29%,51.65%,49.82%,38.70%,42.15%,47.13%,47.29%,57.58%
UKRAINE,40.83%,34.54%,40.97%,45.06%,43.14%,15.15%,41.27%,34.29%,33.45%,33.92%
UNITED ARAB EMIRATES,4.02%,5.8%,3.75%,5.56%,8.44%,8.93%,10.06%,4.18%,1.46%,2.17%
URUGUAY,28.92%,3.19%,4.11%,5.91%,9.77%,8.82%,5.70%,3.21%,2.63%,2.59%
UZBEKISTAN,3.14%,50.29%,61.76%,68.06%,74.14%,45.98%,47.04%,59.56%,64.41%,52.46%
VANUATU,57.09%,13.51%,38.3%,41.05%,46.34%,33.33%,36.09%,38.84%,46.23%,46.88%
VATICAN CITY,16.67%,36.36%,0%,8.33%,0.00%,0.00%,14.29%,14.29%,0.00%,0.00%
VENEZUELA,0%,42.87%,74.28%,59.53%,52.30%,27.22%,34.01%,34.88%,37.40%,48.22%
VIETNAM,40.25%,24.06%,26.2%,23.70%,18.78%,11.32%,14.98%,25.78%,22.12%,22.08%
WESTERN SAHARA,29.49%,100%,0%,0.00%,0.00%,,,,,
YEMEN,48.85%,60.76%,82.5%,78.45%,76.66%,54.30%,56.14%,57.16%,58.07%,67.98%
ZAMBIA,22.26%,21.72%,22.45%,40.64%,44.78%,16.54%,33.22%,32.36%,44.97%,52.45%
ZIMBABWE,22.88%,26.32%,26.6%,26.92%,29.41%,9.31%,26.76%,34.55%,39.47%,37.60%