Fiscal Year,Country,Number,Percent,Male Percent,Female Percent
2019,Total,388403,100,,
2019,India,278491,71.7,,
2019,China,50609,13,,
2019,Canada,4615,1.2,,
2019,Korea South,3476,0.9,,
2019,Mexico,2936,0.8,,
2019,Philippines,2707,0.7,,
2019,Taiwan,2637,0.7,,
2019,United Kingdom,1910,0.5,,
2019,Brazil,1902,0.5,,
2019,Pakistan,1766,0.5,,
2020,Total,426710,100,0.74,0.26
2020,India,319494,74.9,0.79,0.21
2020,China,51597,12.1,0.55,0.45
2020,Canada,3987,0.9,0.64,0.36
2020,Korea South,3665,0.9,0.57,0.43
2020,Philippines,2711,0.6,0.45,0.55
2020,Taiwan,2595,0.6,0.57,0.43
2020,Mexico,2543,0.6,0.74,0.26
2020,Brazil,1931,0.5,0.66,0.34
2020,Pakistan,1929,0.5,0.8,0.2
2020,United Kingdom,1727,0.4,0.69,0.31
2021,Total,407071,100,0.72,0.28
2021,India,301616,74.1,0.77,0.23
2021,China,50328,12.4,0.54,0.46
2021,Canada,3836,0.9,0.65,0.35
2021,Korea South,3481,0.9,0.59,0.41
2021,Philippines,2786,0.7,0.42,0.58
2021,Mexico,2611,0.6,0.75,0.25
2021,Taiwan,2604,0.6,0.57,0.43
2021,Brazil,1986,0.5,0.65,0.35
2021,Pakistan,1880,0.5,0.78,0.22
2021,Nepal,1584,0.4,0.72,0.28
2022,Total,441502,100,0.71,0.29
2022,India,320791,72.6,0.76,0.24
2022,China,55038,12.5,0.53,0.47
2022,Canada,4235,1,0.61,0.39
2022,Korea South,4097,0.9,0.55,0.45
2022,Philippines,3501,0.8,0.41,0.59
2022,Mexico,3203,0.7,0.56,0.44
2022,Taiwan,3016,0.7,0.7,0.3
2022,Brazil,2521,0.6,0.64,0.36
2022,Pakistan,2505,0.6,0.77,0.23
2022,Nepal,2057,0.5,0.72,0.28
2023,Total,386318,100,0.71,0.29
2023,India,279386,72.3,0.76,0.24
2023,China,45344,11.7,0.53,0.47
2023,Philippines,4619,1.2,0.36,0.64
2023,Canada,3852,1,0.62,0.38
2023,Korea South,3603,0.93,0.55,0.45
2023,Mexico,2808,0.73,0.69,0.31
2023,Pakistan,2591,0.67,0.75,0.25
2023,Taiwan,2554,0.66,0.54,0.46
2023,Brazil,2214,0.57,0.62,0.38
2023,Nepal,1962,0.51,0.72,0.28
2024,Total,399395,100,0.69,0.29
2024,India,283397,71,0.75,0.25
2024,China,46680,11.7,0.53,0.47
2024,Philippines,5248,1.3,0.37,0.63
2024,Canada,4222,1.1,0.62,0.38
2024,Korea South,3983,1,0.56,0.44
2024,Mexico,3333,0.83,0.69,0.31
2024,Taiwan,3099,0.78,0.52,0.47
2024,Pakistan,3052,0.76,0.75,0.25
2024,Brazil,2638,0.66,0.62,0.38
2024,Nigeria,2273,0.57,0.57,0.43